id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1166100193718276096,1166043586380599296,1566854925000,2019-08-27,00:28:45,MSK,1050924788313657344,menotabot1,menotabot,,"Omg. I didn’t realize there was never a forest fire in the Amazon before. We must overreact to the situation and crush the world economy to save the planet!  Money is no object even for the poor!  Get real people, these events happen every year.  Climate change will happen despit",['senduckworth'],[],[],0,0,0,[],[],https://twitter.com/menotabot1/status/1166100193718276096,False,,0,,,,,,,"[{'user_id': '1050924788313657344', 'username': 'menotabot1'}, {'user_id': '1058520120', 'username': 'SenDuckworth'}]",
1166061075613265926,1165997949928837122,1566845599000,2019-08-26,21:53:19,MSK,4822865883,josephgreilly62,Joe Reilly,,"OK Senator I know science is hard for you but the Amazon is having a FOREST FIRE not a climate change issue. Additionally ""Climate Change"" is not a crisis. The planets climate is changing as expected AND as it has done EXACTLY THE SAME WAY IN THE PAST. Your hoax is about power.","['senschumer', 'realdonaldtrump']",[],[],0,0,0,[],[],https://twitter.com/JosephGReilly62/status/1166061075613265926,False,,0,,,,,,,"[{'user_id': '4822865883', 'username': 'JosephGReilly62'}, {'user_id': '17494010', 'username': 'SenSchumer'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",
1166036054056558592,1165535548766920704,1566839633000,2019-08-26,20:13:53,MSK,3254727170,xpconinc,xpcon,,Donald didn’t attending climate change because he was busy fighting  amazon forest fire.  pic.twitter.com/lpJQcVZYlJ,"['realdonaldtrump', 'borisjohnson']",[],['https://pbs.twimg.com/media/EC6XnBmXkAEJIdC.jpg'],0,0,0,[],[],https://twitter.com/xpconinc/status/1166036054056558592,False,,0,,,,,,,"[{'user_id': '3254727170', 'username': 'xpconinc'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '3131144855', 'username': 'BorisJohnson'}]",
1166025843522580483,1165610817208934400,1566837199000,2019-08-26,19:33:19,MSK,968564760,flintymaguire,Flinty Maguire,,"The Trump guy, with all his staff and security, didn't manage to turn up for a meeting on climate change and the Amazon forest fire. He gets paid to do a job and he doesn't do it. #Flaky #MAGA #G7

I guess Trump was leaving the decisions to the experts. Out of his depth.","['theofficertatum', 'walshfreedom']",[],[],0,0,0,"['#flaky', '#maga', '#g7']",[],https://twitter.com/FlintyMaguire/status/1166025843522580483,False,,0,,,,,,,"[{'user_id': '968564760', 'username': 'FlintyMaguire'}, {'user_id': '2480268229', 'username': 'TheOfficerTatum'}, {'user_id': '236487888', 'username': 'WalshFreedom'}]",
1166015781588492288,1166015781588492288,1566834800000,2019-08-26,18:53:20,MSK,745558160,zoomeradvocate,jake,,"So half of the Amazon forest fire story is just celebrities virtue signaling about climate change and stuff they don’t understand, and the other half is just so they can dunk on Bolsinaro, and all of it is bs? Nice  https://twitter.com/ShellenbergerMD/status/1165864759788392449 …",[],['https://twitter.com/ShellenbergerMD/status/1165864759788392449'],[],0,0,0,[],[],https://twitter.com/zoomeradvocate/status/1166015781588492288,False,https://twitter.com/ShellenbergerMD/status/1165864759788392449,0,,,,,,,"[{'user_id': '745558160', 'username': 'zoomeradvocate'}]",
1165989107044114432,1165989107044114432,1566828440000,2019-08-26,17:07:20,MSK,704141096159309826,markarodrig,Mark A Rodriguez,,"Looking at this Amazon rain forest fire, I don’t doubt that it was done purposely to push the climate change propaganda",[],[],[],4,12,9,[],[],https://twitter.com/markarodrig/status/1165989107044114432,False,,0,,,,,,,"[{'user_id': '704141096159309826', 'username': 'markarodrig'}]",
1165961504384045056,1165961504384045056,1566821859000,2019-08-26,15:17:39,MSK,390903601,changsup1,changsup,,#climate_change #Brazil #rain_forest_fire Leonardo DiCaprio's new environment initiative just committed $5 million to protecting the Amazon rainforest after an alarming surge in wildfires  https://www.insider.com/leonardo-dicaprio-earth-alliance-commits-5-million-to-amazon-wildfires-2019-8?utm_source=twitter&utm_medium=referral&utm_content=topbar&utm_term=desktop&referrer=twitter … via @thisisinsider,['thisisinsider'],['https://www.insider.com/leonardo-dicaprio-earth-alliance-commits-5-million-to-amazon-wildfires-2019-8?utm_source=twitter&utm_medium=referral&utm_content=topbar&utm_term=desktop&referrer=twitter'],[],0,0,0,"['#climate_change', '#brazil', '#rain_forest_fire']",[],https://twitter.com/changsup1/status/1165961504384045056,False,,0,,,,,,,"[{'user_id': '390903601', 'username': 'changsup1'}, {'user_id': '3226282347', 'username': 'thisisinsider'}]",
1165934543183859712,1165918301932916736,1566815431000,2019-08-26,13:30:31,MSK,1026491963703406593,mirandatedder4,Miranda (Mandy) Tedder,,Yep... Just like High School are teaching Nazi Propaganda.  SMH....  ABC to thank for that story.  They found 1 group if that group even exists and blew it UP!  I'm sick of the lies but at least my local news is telling the truth about Amazon Forest Fire.  BTW. NOT CLIMATE CHANGE,['realdonaldtrump'],[],[],0,0,0,[],[],https://twitter.com/MirandaTedder4/status/1165934543183859712,False,,0,,,,,,,"[{'user_id': '1026491963703406593', 'username': 'MirandaTedder4'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",
1165881185072906240,1165881185072906240,1566802710000,2019-08-26,09:58:30,MSK,247196798,twistedblaster,Ken Lundgreen,,Amazon forest fire 😥😥😥  earth song  michael jackson  https://youtu.be/RRVY06Ih5Dc  via @YouTube XR #ExtinctionRebellion global warming #GlobalHeating climate change #ClimateCrisis #NTHE #WASF,['youtube'],['https://youtu.be/RRVY06Ih5Dc'],[],0,0,0,"['#extinctionrebellion', '#globalheating', '#climatecrisis', '#nthe', '#wasf']",[],https://twitter.com/twistedblaster/status/1165881185072906240,False,,0,,,,,,,"[{'user_id': '247196798', 'username': 'twistedblaster'}, {'user_id': '10228272', 'username': 'YouTube'}]",
1165780011456040966,1165780011456040966,1566778588000,2019-08-26,03:16:28,MSK,1068224242922242048,hawalewicz,Kinga Hawalewicz,,Guys I wanna say summat:As you all know about Amazon forest fire & its only 18 months left for our climate to change completely.Can we please plant 2 trees at our homes on 1st & 12th Sep in Jungkook and RM's name. #SavingAmazon #SaveEarth #ForJungkookandRM Let's spread the word💜,[],[],[],0,0,0,"['#savingamazon', '#saveearth', '#forjungkookandrm']",[],https://twitter.com/hawalewicz/status/1165780011456040966,False,,0,,,,,,,"[{'user_id': '1068224242922242048', 'username': 'hawalewicz'}]",
